"","text","emotion"
"75","semisal lambemu tak jotosi nangis pora su yg ke 5 vaksin titan","surprise"
"76","suntik vaksin biar jadi titan juga","surprise"
"77","dimana titan berkoar koar disitu ada kamu yg mengurusi agar titan cepat basmi basmi basmi basmi basmi basmi basmi b…","surprise"
"78","dimana titan berkoar koar disitu ada kamu yg mengurusi agar titan cepat basmi basmi basmi basmi basmi basmi basmi b…","surprise"
"79","dimana titan berkoar koar disitu ada kamu yg mengurusi agar titan cepat basmi basmi basmi basmi basmi basmi basmi b…","surprise"
"80","halo sobat kui tenang aja setelah vaksin kamu gak akan jadi titan atau zombie jadi gak usah ragu untuk ikut vak…","surprise"
"81","pedah gs di vaksin nyeri awak sugan teh rek jadi titan singhoreng asup angin","fear"
"82","yuk bisa yuk vaksin dlu siapa tau jd titan hihi canda <U+0001F601>","anger"
"83","assalamualaikum
kata ilham sapa yang cita citanya di vaksinjadi titan","surprise"
"84","aku nak cucuk vaksin kejinannak jadi war hammer titan","anger"
"85","info vaksin warhammer titanmentolo tak petel ndas e arek iki","surprise"
"86","ah buruan kak 
aku pengen di vaksin
aku pengen jadi titan
foundingtitan","surprise"
"87","bayangin disuntik vaksin malah jadi titan","surprise"
"88","udah seminggu tapi liat post orang ngomong kalo di vaksin nanti jadi titan jadi mikir kok orang bisa gitu ya mikiri…","sadness"
"89","ikut vaksin biar jadi titan

ekspektasirealita","surprise"
"90","saya nggak percaya vaksin bisa disisipkan barcoderfid untuk melacak seseorang
tapi kalok vaksi…","surprise"
"91","semoga sesudah di suntik vaksin nantiaku jadi punya armor titan","fear"
"92","btw gw paling benci kalau ada yg mau edukasi vaksin bawa2 anime attack on titan

kalau baca komiknya orang yang disuntik s…","sadness"
"93","besok vaksin aja dek kan jadi titan","surprise"
"94","jangan sampai kau menyesal nanti pes kitorang dah warning awal2 nanti lepas vaksin kau jadi titan aku tetak je leher kau <U+0001F624><U+261D><U+FE0F>","fear"
"95","papakunnti klo di vaksin mau egk
akubleh tp aku mau jd founding titan yh

papaku","sadness"
"96","afjslslabs ga tau tapi tadu ngakak banget dia ngomong ke dokter yg mau vaksin juga gini dok ga takut jadi titan <U+0001F602><U+0001F602><U+0001F602><U+0001F602>","sadness"
"97","kapan dapet vaksin ga sabar pengen jadi titan shifter","surprise"
"98","btw gw paling benci kalau ada yg mau edukasi vaksin bawa2 anime attack on titan

kalau baca komiknya orang yang…","sadness"
"99","<U+0001F923><U+0001F923><U+0001F923><U+0001F923><U+0001F923> emang ada ya yang abis di vaksin jadi titan hahah","surprise"
"100","takut banget kalau dia di vaksin jd titan beneran wkwk","surprise"
"101","tidak sekalian diberi vaksin agar menjadi titan","surprise"
"102","dibanding isu suntik vaksin lantas jd antikris mending jadi titan","surprise"
"103","kenapa tak nak cakap after vaksin jadi titan je terus <U+0001F62A>","surprise"
"104","tapi menariknya sword a online ini narik penonton anime baru kebanyakan dari kalangan gamer kalau attack on tit…","anger"
"105","lagi bucin bgt ama warhammer bismillah klo bsk dapet auntik vaksin jd warhammer titan","surprise"
"106","kalau baca berita sih kantorku harusnya masuk tahap kedua tahap peama kan tenaga kesehatan boleh g…","surprise"
"107","gmau di vaksin ak mau jadi titan aja","sadness"
"108","dari segi bisnis vaksin ga aman lebih baik pakai obat herbal dari
dari segi politik vaksin ini bu…","anger"
"109","emang kalo suntik vaksin bisa jadi titan","surprise"
"110","bayar vaksin suntik titan","surprise"
"111","kalau disuntik vaksin bisa bikin aku berubah jadi war hammer titan aku bersedia kalau jadi titan biasa atau abnormal aku tidak bersedia<U+0001F97A>","disgust"
"112","mantap mbak ntar pas disuntik vaksin biar tau mau milih jadi titan apa wkwkwk","fear"
"113","andai yang dihirup itu vaksin datang sebagai fakboi pulangnya jadi titan","surprise"
"114","abis vaksin jadi titan gak teh <U+0001F923>","surprise"
"115","betul doh ni pastu nanti dia bawak kau pergi 1 tempat yang kau tak tahu pastu kena cucuk vaksin pastu dia campak…","surprise"
"116","iki akibat disuntik vaksin po dadi titan wkakakaka","surprise"
"117","sudah vaksin yey dan ga berubah jadi titan <U+0001F642>","sadness"
"118","gw gamau vaksin ntar gw berubah jadi titan tyra","anger"
"119","15 menit paska vaksin

cuma pegel doang di daerah vaksin sama kayak vaksin2 lainnya

ga berubah jadi titan apalagi jadi zombie","surprise"
"120","setelah di vaksin bisa jadi titan gk pak","surprise"
"121","klo di suntik vaksin nanti bakal berubah jadi titan gitu<U+0001F923>","surprise"
"122","kong kirakira pas vaksin smo jadi titan haha lucuuuu skali <U+0001F61D>","anger"
"123","knp org indo sllu nethink dulu minta vaksin pas s ada smua lari tda ada yg mau bkg konspirasi sndiri katanya ad…","anger"
"124","lo vaksin aja sono mo sapa tau jadi titan entar <U+0001F440><U+0001F92D>","anger"
"125","ni pasti abis di vaksin suda muncul rupa titan soalnya","surprise"
"126","ini januari ngapa aot in real life gini dah

suntik vaksin setara suntik jd titan lah indonesian vs bule setara e…","anger"
"127","tara kembali ke sofa tempat ia duduk sebelumnya melanjutkan acara makan paginya dengan serealnya yang sudah seteng…","fear"
"128","kita bersangka baik mungkin dia tengah make sure vaksin tak tukarkan orang jadi titan<U+0001F607>","anger"
"129","cepet vaksin biar jadi titan","surprise"
"130","mereka mana nonton bang eno ngei aot aja mungkin gara2 viral suntik vaksin titan","anger"
"131","usai disuntik vaksin sinovac wali kota tangsel airin dijuluki female titan

","surprise"
"132","vaksin aja mungkin dia tiba2 jd titan","surprise"
"133","besok kaka gue dapet jadwal vaksin semoga pulang kerumah gajadi titan","fear"
"134","airin dapat julukan itu dari anak gadisnya ghefira marhamah wardana","surprise"
"135","airin dapat julukan itu dari anak gadisnya ghefira marhamah wardana","surprise"
"136","terus papanya titan soalnya abis vaksin corona","joy"
"137","gws brader kayaknya kamu perlu vaksin titan","surprise"
"138","hubungan vaksin saat ini dengan titan","anger"
"139","bentar dh ini kenapa tl gw penuh ama titan jangan2 twitter gw kena vaksin","anger"
"140","abis vaksin ko pegel ya apa bentar lagi jadi titan hahaha yuk jgn lupa vaksincovid19","fear"
"141","aku takut efek vaksin ga bikin aku jadi titan doangtapi malah jadi andika the titan","surprise"
"142","vaksin tidak akan membuat anda menjadi titan tapi bisa membuat anda dicintai oleh doivaksinyuk","surprise"
"143","ternyata saya adalah keturunan tybur itu ainya saya warga eldia itu beraihmjangan vaksin deh ntar ben…","surprise"
"144","lebih masuk akal teori bahwa vaksin covid19 bikin kita berubah jadi titan","surprise"
"145","…","surprise"
"146","…","surprise"
"147","nih lihat apa kata ahli jadi jangan takut jadi titan itu hoax
rakyat dukung vaksin
vaksinkita
indonesia sehat
vaksink…","anger"
"148","vaksin ayo gak bakal jadi titan
vaksinkita","surprise"
"149","hoax apalagi ini kemaren titan sekarang penisdarurat membaca sih ini
rakyat dukung vaksin
vaksinkita

indonesia sehat
…","anger"
"150","nih lihat apa kata ahli jadi jangan takut jadi titan itu hoax
rakyat dukung vaksin
vaksinkita
indonesia sehat
vaksink…","anger"
"151","hoax apalagi ini kemaren titan sekarang penisdarurat membaca sih ini
rakyat dukung vaksin
vaksinkita

indonesia sehat
…","anger"
"152","ayo vaksin jokowi gak jadi titan kok
rakyat dukung vaksin
vaksinkita","surprise"
"153","hoax apalagi ini kemaren titan sekarang penisdarurat membaca sih ini
rakyat dukung vaksin
vaksinkita

indonesia sehat
…","anger"
"154","ayo vaksin jokowi gak jadi titan kok
rakyat dukung vaksin
vaksinkita","surprise"
"155","gue mau nanya serius no soal pendapatlu tentang sekarang yg kejadian apa2 dikasih meme aot sampai kesan…","fear"
"156","perasaan fans aot yang beneran fans dari dulu selalu adem ayem tapi setelah muncul fans aot dadakan yg ngikutin hy…","surprise"
"157","hoax apalagi ini kemaren titan sekarang penisdarurat membaca sih ini
rakyat dukung vaksin
vaksinkita

indonesia…","anger"
"158","ayo vaksin jokowi gak jadi titan kok
rakyat dukung vaksin
vaksinkita","surprise"
"159","nih lihat apa kata ahli jadi jangan takut jadi titan itu hoax
rakyat dukung vaksin
vaksinkita
indonesia sehat…","anger"
"160","ayo vaksin jokowi gak jadi titan kok
rakyat dukung vaksin
vaksinkita","surprise"
"161","ini demi allah gw gaboong gw tadi bangun gegara mimpi punya cewe terus abis dia disuntik vaksin covid dia beruba…","sadness"
"162","bukan vaksin titan

vaksinkita 
indonesiamaju
bulekbanggapadamu
vaksinkita","surprise"
"163","garagara vaksin ‘divaksin ga merubah lo menjadi titan’ begitu kata org org","surprise"
"164","ini orangorang baru tau nonton anime shingeki no kyojin kali yak

apa karna dihubungkan dengan vaksin orang mau di…","sadness"
"165","untung mimpi nya bukan anak sma dapet jatah vaksin terus jadi jombititan","fear"
"166","kuliah online rasanya mau mati
kuliah offline matinya beneran
gak vaksin takut ketular cororong
mau vaksin takut jadi titan","sadness"
"167","menunggu berita setelah disuntik vaksin berubah menjadi titan

ak jg mau klo itu <U+0001F604>","sadness"
"168","gua minggu depan di vaksin kalo tbtb gua ga ngetweet lagi mungkin gua udah jadi titan","fear"
"169","tapi next ada vaksin mandiri katanya siapa tau bisa milih vaksinnya <U+0001F614>
founding titan kayak beringin kak nakutin <U+0001F614>","anger"
"170","tercatat dapet antrian apa vaksin mandiri
bismillah attack titan <U+0001F90C>","fear"
"171","setelah vaksin semoga jadi beast titan","anger"
"172","kalo emang suntik vaksin bisa jadi titan gw mau milih jadi ca titan bentuknya lucu soalnya kek titt","sadness"
"173","suntikin vaksin titan aja","surprise"
"174","pasar dan pabrik boleh beroperasi sepei biasa
tapi kalau kondanganibadah harus dibatasi
biar ga terkena covid…","sadness"
"175","tapi keun lah demi kebaikan umat manusia neng haha kumaha geus vaksin jadi titan naon maneh","fear"
"176","beberapa konten tiktok ada yg bikin pov tentang setelah vaksin yang jadi zombi jadi titan takutn…","anger"
"177","lagi dengerin temen ngasih tau ttg vaksin 
guh kek nya nko ga bs deh di vaksin punya asma kan soalnya buat jd ti…","anger"
"178","kalo misalnya abis vaksin beneran jd titan bismillah ak dpt warhammer titan <U+0001F64F><U+0001F3FC>","surprise"
"179","nnti q di vaksinmoga jdi titan<U+0001F606><U+0001F60A><U+0001F60D><U+0001F60F><U+0001F631><U+0001F605><U+0001F601><U+0001F612><U+0001F60E>","surprise"
"180","iki aku ono vaksin titan gelem ra","surprise"
"181","this vaksin diberikan untuk mengurangi gejala dan dampak bukan biar kebal kalo mau kebal ya u jadi suntik super s…","sadness"
"182","di tengah maraknya pemberitaan vaksinsinovak yang akan digunakan di negeri ini ada satu lagi yang tidak menggemparka…","disgust"
"183","kalian percaya vaksin bikin jadi titan ga sih","surprise"
"184","bentar lagi kan vaksin jadi titan","surprise"
"185","di tengah maraknya pemberitaan vaksinsinovak yang akan digunakan di negeri ini ada satu lagi yang tidak menggemparka…","disgust"
"186","emang dah bahaya se niche nya anime snk mah jebol juga haha

akun pemerintah aja sampe jelasin vaksin dikait ke meme titan","surprise"
"187","narasinya gitu gitu aja wkwk karena setelah di vaksin berharap presiden jadi titan","surprise"
"188","makannyaa nonton attack on titan gak ngei kan lu vaksin bisa jadi titan lol","anger"
"189","di tengah maraknya pemberitaan vaksinsinovak yang akan digunakan di negeri ini ada satu lagi yang tidak menggemparka…","disgust"
"190","gw tetep ga mau dj vaksin bukan takut jadi titan cuma gw ga mau hidup 13 tahun doang","sadness"
"191","peanyaan tersebut datang karena bercandaan bismillah dapet titan shifterkarena vaksin corona","joy"
"192","vaksin titan perintis","surprise"
"193","mau tanya nih emang bener kalo di suntik vaksin bisa jadi titan kalo bisa berharap dapet armored titan…","fear"
"194","aku takut efek vaksin ga bikin aku jadi titan doangtapi malah jadi andika the titan","surprise"
"195","iya anjr e…","surprise"
"196","udah mniz ak tawarin vaksin titan","surprise"
"197","smiling titan begini gambaran kepala negara redacted setelah di vaksin no 3 mencengangkan","joy"
"198","smiling titan begini gambaran kepala negara redacted setelah di vaksin no 3 mencengangkan","joy"
"199","emang bener ya abis disuntik vaksin bisa berubah jadi titan

komikmasmas","surprise"
"200","eh bener banget apalagi pas vaksin titan","surprise"
"201","serius sebel bgt liatin argumen orang ga mau di vaksin plss “nanti jadi titan” “gamau ada bahan kimia di badan”<U+0001F921>","sadness"
"202","bro bro liat bro gw punya meme aot nih bro aaaaa vaksin titan lucu banget bro aaaaa buruan ritwit bro aaaaarrrgghhh","disgust"
"203","bro bro liat bro gw punya meme aot nih bro aaaaa vaksin titan lucu banget bro aaaaa buruan ritwit bro aaaaarrrgghhh","disgust"
"204","vaksin dlu baru jadi titan 3","surprise"
"205","emang bener ya abis disuntik vaksin bisa berubah jadi titan

komikmasmas","surprise"
"206","emang bener ya abis disuntik vaksin bisa berubah jadi titan

komikmasmas","surprise"
"207","mending suntik vaksin kita mengendarai titan","surprise"
"208","emang bener ya abis disuntik vaksin bisa berubah jadi titan

komikmasmas","surprise"
"209","kalo vaksinserum setauku pasti jadi titan biasa min kecuali kalo lu makan pengguna titan shifter…","disgust"
"210","siap di vaksin
bismillah dapet founding titan biar bisa bikin tembok keliling","surprise"
"211","kalo disuntik vaksin jadi titan aku mau deh bosan juga jadi manusia gni2 aja berhasil kagak capek menuhin tuntutsn idup id…","sadness"
"212","setelah vaksin mulai terpantau beberapa titan berkeliaran","surprise"
"213","kirain kemarin pas kamu vaksin titan","surprise"
"214","orang eropa vaksin nethinknyazombiee orang asiaaa nethinknya armor titan ahahahah","fear"
"215","di tengah maraknya pemberitaan vaksinsinovak yang akan digunakan di negeri ini ada satu lagi yang tidak menggemparka…","disgust"
"216","di tengah maraknya pemberitaan vaksinsinovak yang akan digunakan di negeri ini ada satu lagi yang tidak menggemparka…","disgust"
"217","ya allah klo dapet vaksin sinovac nanti trs tiba2 hamba jadi titan request mau jadi founding titan eren 

atau k…","sadness"
"218","di tengah maraknya pemberitaan vaksinsinovak yang akan digunakan di negeri ini ada satu lagi yang tidak menggemparka…","disgust"
"219","kalo suntik vaksin jadi titan mau dong jd warhammer titan wkkwkwkwkwkwkw","sadness"
"220","di tengah maraknya pemberitaan vaksinsinovak yang akan digunakan di negeri ini ada satu lagi yang tidak menggemparka…","disgust"
"221","semoga vaksin sinovac tidak merubah pak jokowi menjadi attack titan","anger"
"222","di tengah maraknya pemberitaan vaksinsinovak yang akan digunakan di negeri ini ada satu lagi yang tidak menggemparka…","disgust"
"223","sinopak sinopak ayo vaksin sinopak<U+0001F3B6>
semoga aku dapet titan shifter<U+0001F64F><U+0001F3FB>","surprise"
"224","kapan ya dapet vaksin pen jdi titan","joy"
"225","min saya mau nanya apakah sesudah di suntik vaksin bakalan berubah jadi titan atau fanny real","disgust"
"226","bro bro liat bro gw punya meme aot nih bro aaaaa vaksin titan lucu banget bro aaaaa buruan ritwit bro aaaaarrrgghhh","disgust"
"227","di tengah maraknya pemberitaan vaksinsinovak yang akan digunakan di negeri ini ada satu lagi yang tidak menggemparka…","disgust"
"228","di tengah maraknya pemberitaan vaksinsinovak yang akan digunakan di negeri ini ada satu lagi yang tidak menggempa…","disgust"
"229","kominfo yang suntik vaksin tidak akan menjadi titan

tapi menjadi zombiedewi perssik feat aldy taher…","surprise"
"230","aku setelah disuntik vaksin 
titan<U+2716><U+FE0F>
shinzo wo sasageyo <U+2611><U+FE0F><U+0001F626>","surprise"
"231","disuntik vaksin tidak akan merubahmu menjadi titan","surprise"
"232","lu nolak vaksin kalau alesannya logis juga berdasar data dan fakta mah oke oke aja cuma kalau nolak vaksin garaga…","sadness"
"233","kalau vaksin awal ni sebenarnya jadikan kita titan tak mustahil satu hari kita duduk belakang wall maria <U+0001F631>

shinzo…","disgust"
"234","joke abis di vaksin jadi titan jadi monster or apalah mending di stop bro en sis galucu","surprise"
"235","siallah tiktok yg cakap vaksin covid 19 ni sebenarnya formula jadi titan <U+0001F602>","surprise"
"236","habis suntik vaksin titan nih jadi 7 meter","surprise"
"237","bro bro liat bro gw punya meme aot nih bro aaaaa vaksin titan lucu banget bro aaaaa buruan ritwit bro aaaaarrrgghhh","disgust"
"238","emang bener ya abis disuntik vaksin bisa berubah jadi titan

komikmasmas","surprise"
"239","bro bro liat bro gw punya meme aot nih bro aaaaa vaksin titan lucu banget bro aaaaa buruan ritwit bro aaaaarrrgghhh","disgust"
"240","emang bener ya abis disuntik vaksin bisa berubah jadi titan

komikmasmas","surprise"
"241","bro bro liat bro gw punya meme aot nih bro aaaaa vaksin titan lucu banget bro aaaaa buruan ritwit bro aaaaarrrgghhh","disgust"
"242","baru kusadari kalau sasageyo dan titan abnormal sudah mendunia bahkan yang nonjejepangan pun sudah tahu apa itu a…","disgust"
"243","bro bro liat bro gw punya meme aot nih bro aaaaa vaksin titan lucu banget bro aaaaa buruan ritwit bro aaaaarrrgghhh","disgust"
"244","potret salah satu warga yang terkena imbas dari vaksin dan tidak mendapatkan titan shifter","disgust"
"245","bro bro liat bro gw punya meme aot nih bro aaaaa vaksin titan lucu banget bro aaaaa buruan ritwit bro aaaaarrrgghhh","disgust"
"246","bro bro liat bro gw punya meme aot nih bro aaaaa vaksin titan lucu banget bro aaaaa buruan ritwit bro aaaaarrrgghhh","disgust"
"247","bro bro liat bro gw punya meme aot nih bro aaaaa vaksin titan lucu banget bro aaaaa buruan ritwit bro aaaaarrrgghhh","disgust"
"248","bro bro liat bro gw punya meme aot nih bro aaaaa vaksin titan lucu banget bro aaaaa buruan ritwit bro aaaaarrrgghhh","disgust"
"249","sesudah gua di suntik vaksin semoga dapet armor titan","fear"
"250","emang bener ya abis disuntik vaksin bisa berubah jadi titan

komikmasmas","surprise"
"251","bangke lawakan2 tentang vaksin yg bisa buat kita jadi zombie dan titan sudah sampai ditelangi orang tuaku dan say…","sadness"
"252","sesudah gua di suntik vaksin semoga dapet armor titan","fear"
"253","sesudah gua di suntik vaksin semoga dapet armor titan","fear"
"254","sesuai anjuran pemerintah d suntik vaksin sinovactpi dokternya tenang ini gk tremor
apakah pak polisi ini akn jdi titan…","anger"
"255","bro bro liat bro gw punya meme aot nih bro aaaaa vaksin titan lucu banget bro aaaaa buruan ritwit bro aaaaarrrgghhh","disgust"
"256","bro bro liat bro gw punya meme aot nih bro aaaaa vaksin titan lucu banget bro aaaaa buruan ritwit bro aaaaarrrgghhh","disgust"
"257","sesudah gua di suntik vaksin semoga dapet armor titan","fear"
"258","hibur dong dengan meme vaksin menjadi titan","surprise"
"259","bro bro liat bro gw punya meme aot nih bro aaaaa vaksin titan lucu banget bro aaaaa buruan ritwit bro aaaaarrrgghhh","disgust"
"260","kusus km harus vaksin serum titan ndod soale raimu kayak titan picek","surprise"
"261","update apa apa salah 
kalo update di vaksin jadi titanorang sekitaran kantor ngedumel
kalo update perasaan atau…","fear"
"262","kebayang gak sih lu beberapa presiden di dunia vaksin sinovac gak taunya mereka semua jd colossal titan 

apakah…","surprise"
"263","semoga besok besok abis di vaksin ga jadi titan","surprise"
"264","suntik titan vaksin titan suntik titan vaksin titan basi anjg","surprise"
"265","agak agak bila vaksin covid dah keluar kita cucuk vaksin tu jadi titan tak","surprise"
"266","harapharap vaksin covid19 tu tak mengandungi spinal cord beast titan mahu zeke jerit sekali semua jadi pure titan","anger"
"267","gue ga ngei knp ayah excited bgt ngomongin di suntik vaksin bisa berubah jadi titan sama mahib almas
jgn bila…","surprise"
"268","bro bro liat bro gw punya meme aot nih bro aaaaa vaksin titan lucu banget bro aaaaa buruan ritwit bro aaaaarrrgghhh","disgust"
"269","mau vaksin tp takut banget jadi titan beneran<U+0001F62D>
shinzou wo sasageyo","sadness"
"270","bro bro liat bro gw punya meme aot nih bro aaaaa vaksin titan lucu banget bro aaaaa buruan ritwit bro aaaaarrrgghhh","disgust"
"271","sesudah gua di suntik vaksin semoga dapet armor titan","fear"
"272","17 of 365

kruger udah ngamuk sebagai perintis semoga tidak ada titan karna vaksin","surprise"
"273","daftar efek samping vaksin covid19 jadi titan nggak termasukvia","surprise"
"274","apa iya suntik vaksin bisa berubah jadi titan","fear"
"275","heiheiheiii obat nya udah jadi vaksin titan","surprise"
"276","emang bener ya abis disuntik vaksin bisa berubah jadi titan

komikmasmas","surprise"
"277","bro bro liat bro gw punya meme aot nih bro aaaaa vaksin titan lucu banget bro aaaaa buruan ritwit bro aaaaarrrgghhh","disgust"
"278","besok mau vaksin bismillah armored titan","fear"
"279","emang bener ya abis disuntik vaksin bisa berubah jadi titan

komikmasmas","surprise"
"280","emang bener ya abis disuntik vaksin bisa berubah jadi titan

komikmasmas","surprise"
"281","di vaksin jadi titan <U+274C>
di vaksin bisa nembur ruang dan waktu <U+2714><U+FE0F>","sadness"
"282","emang bener ya abis disuntik vaksin bisa berubah jadi titan

komikmasmas","surprise"
"283","persiapan sebelum vaksin titan","surprise"
"284","diem ajg gue nanti pengengacha vaksin biar dapet founding titan","fear"
"285","emang bener ya abis disuntik vaksin bisa berubah jadi titan

komikmasmas","surprise"
"286","sesudah gua di suntik vaksin semoga dapet armor titan","fear"
"287","bro bro liat bro gw punya meme aot nih bro aaaaa vaksin titan lucu banget bro aaaaa buruan ritwit bro aaaaarrrgghhh","disgust"
"288","vaksin duls buat ngaktifin zat yg bikin jd titan wkwk","surprise"
"289","bro bro liat bro gw punya meme aot nih bro aaaaa vaksin titan lucu banget bro aaaaa buruan ritwit bro aaaaarrrgghhh","disgust"
"290","bro bro liat bro gw punya meme aot nih bro aaaaa vaksin titan lucu banget bro aaaaa buruan ritwit bro aaaaarrrgghhh","disgust"
